Position,MVP_Nominated,FG_Pct,3P_Pct,2P_Pct,PTS,3P,2P,AST,STL,BLK,REB,Player,Season,Vote_Share_Pct,MP_per_Game
PG,0,41.8,22.1,43.8,16.1,0.3,5.6,8.0,1.3,0.4,4.9,Russell Westbrook,10-10,0.0,34.3
PG,0,48.7,29.4,49.7,16.0,0.2,6.1,5.7,0.5,0.1,2.4,Tony Parker,10-10,0.0,30.9
C,0,52.0,0.0,52.1,15.9,0.0,6.9,1.8,0.6,2.5,10.2,Andrew Bogut,10-10,0.0,32.3
PG,0,44.2,42.9,45.2,15.8,2.3,3.2,5.3,1.0,0.3,3.0,Mo Williams,10-10,0.0,34.2
SG,0,47.4,39.3,52.8,15.7,2.0,4.0,1.8,0.8,0.4,5.1,Jason Richardson,10-10,0.0,31.5
PF,0,50.5,0.0,50.8,15.7,0.0,6.2,4.2,1.6,2.1,8.7,Josh Smith,10-10,0.0,35.4
PG,0,37.1,37.4,37.0,15.5,1.8,3.7,5.7,1.3,0.2,3.4,Brandon Jennings,10-10,0.0,32.6
SG,0,44.1,38.2,46.8,15.4,1.5,3.9,2.8,1.2,0.3,3.3,John Salmons,10-10,0.0,34.9
SG,0,42.0,38.0,44.1,12.7,1.4,3.1,2.5,1.3,0.4,3.4,John Salmons,10-10,0.0,33.2
SG,0,46.7,38.5,49.7,19.9,1.5,5.4,3.3,1.1,0.1,3.2,John Salmons,10-10,0.0,37.6
SG,0,41.4,33.8,47.7,15.4,2.1,3.6,2.4,1.3,0.3,3.1,J.R. Smith,10-10,0.0,27.8
SG,0,47.9,26.7,52.4,15.3,0.6,5.7,2.1,0.7,0.8,5.4,Wilson Chandler,10-10,0.0,35.7
PG,0,40.6,27.7,45.9,15.3,1.1,4.4,8.0,1.7,0.6,3.5,Baron Davis,10-10,0.0,33.6
SF,0,49.5,35.9,56.0,15.2,1.4,4.5,2.8,1.0,0.3,4.6,Reggie Williams,10-10,0.0,32.6
SF,0,42.3,38.1,46.9,15.1,2.3,2.5,1.7,0.9,0.7,4.9,Danilo Gallinari,10-10,0.0,33.9
PF,0,45.3,33.3,50.3,15.1,1.3,4.6,1.6,1.3,0.9,6.0,Jeff Green,10-10,0.0,37.1
C,0,57.0,0.0,57.1,15.0,0.0,6.0,1.0,0.5,1.4,8.3,Andrew Bynum,10-10,0.0,30.4
SF,0,39.4,33.4,43.6,14.9,1.9,3.6,3.8,1.8,0.6,5.6,Trevor Ariza,10-10,0.0,36.5
PF,0,45.0,27.5,46.9,14.8,0.4,5.6,1.3,1.0,0.6,6.4,Michael Beasley,10-10,0.0,29.8
C,0,58.1,0.0,58.2,14.6,0.0,5.5,2.4,1.0,1.6,9.3,Marc Gasol,10-10,0.0,35.8
PF,0,47.2,38.4,53.3,14.6,1.8,3.6,2.1,1.0,0.5,10.2,Troy Murphy,10-10,0.0,32.6
SG,0,45.1,37.4,49.3,14.5,1.6,3.8,1.6,0.8,0.2,2.9,Marcus Thornton,10-10,0.0,25.6
PF,0,52.1,20.0,52.3,14.3,0.0,5.8,2.7,1.0,0.8,7.3,Kevin Garnett,10-10,0.0,29.9
C,0,55.1,100.0,55.1,14.2,0.0,5.8,2.3,0.7,1.1,9.9,Al Horford,10-10,0.0,35.1
PF,0,47.8,29.5,48.7,14.1,0.2,5.7,2.1,1.0,0.9,6.3,Andray Blatche,10-10,0.0,27.9
PF,0,43.5,39.7,47.6,14.1,2.3,2.5,1.5,1.1,0.4,4.4,Rashard Lewis,10-10,0.0,32.9
PF,0,45.0,33.0,47.4,14.0,0.6,4.3,2.3,0.7,0.4,11.0,Kevin Love,10-10,0.0,28.6
PG,0,44.5,20.0,46.9,14.0,0.2,4.7,5.4,1.1,0.1,3.2,Andre Miller,10-10,0.0,30.5
PG,0,47.0,34.0,52.7,14.0,1.1,3.9,4.2,1.3,0.2,2.9,Lou Williams,10-10,0.0,29.9
SF,0,54.5,37.0,62.3,13.9,1.1,4.2,1.1,0.6,1.0,4.6,Kelenna Azubuike,10-10,0.0,25.7
PG,0,43.0,36.0,43.6,13.8,0.3,4.5,4.0,0.7,0.1,2.8,Allen Iverson,10-10,0.0,30.9
PG,0,57.7,100.0,56.0,12.3,0.3,4.7,3.7,0.3,0.0,1.3,Allen Iverson,10-10,0.0,22.3
SG,0,41.7,33.3,42.5,13.9,0.3,4.5,4.1,0.7,0.1,3.0,Allen Iverson,10-10,0.0,31.9
SG,0,41.6,32.1,46.5,13.8,1.2,3.5,2.7,0.8,0.1,1.9,Ben Gordon,10-10,0.0,27.9
C,0,58.7,0.0,58.9,13.8,0.0,5.1,2.5,1.4,1.0,7.6,Nenê,10-10,0.0,33.6
PF,0,47.0,34.8,49.5,13.8,0.7,5.0,1.4,1.2,0.2,5.2,Thaddeus Young,10-10,0.0,32.0
PG,0,50.8,21.3,53.6,13.7,0.2,5.5,9.8,2.3,0.1,4.4,Rajon Rondo,10-10,0.0,36.6
C,0,52.9,0.0,53.0,13.6,0.0,5.6,1.3,0.4,1.4,6.9,Jermaine O'Neal,10-10,0.0,28.4
PG,0,41.7,35.8,43.4,13.5,1.0,4.0,4.4,1.0,0.0,2.4,Jonny Flynn,10-10,0.0,28.9
C,0,45.8,38.5,48.6,13.5,1.1,3.7,1.6,0.5,1.1,7.1,Mehmet Okur,10-10,0.0,29.4
SF,0,48.6,37.0,50.3,13.5,0.6,5.2,3.3,0.7,0.4,5.1,Tayshaun Prince,10-10,0.0,34.0
PF,0,48.0,0.0,48.1,13.1,0.0,5.4,1.4,1.1,1.1,6.1,Elton Brand,10-10,0.0,30.2
SG,0,43.1,34.6,45.9,13.0,1.0,4.0,2.4,1.4,0.4,3.4,Corey Brewer,10-10,0.0,30.3
SG,0,46.8,45.6,47.7,13.0,2.0,2.7,1.5,0.9,0.2,3.8,Anthony Morrow,10-10,0.0,29.2
PG,0,49.3,37.7,53.0,12.9,0.9,4.3,4.7,1.1,0.1,2.8,Beno Udrih,10-10,0.0,31.4
SF,0,40.5,26.7,44.4,12.7,0.7,3.8,1.4,0.7,0.3,3.6,Josh Howard,10-10,0.0,26.2
SF,0,40.1,26.7,43.8,12.5,0.6,3.8,1.4,0.7,0.3,3.6,Josh Howard,10-10,0.0,26.7
SF,0,43.5,27.3,48.6,14.5,0.8,4.3,1.0,0.8,0.5,3.3,Josh Howard,10-10,0.0,22.8
PG,0,44.9,38.1,48.1,12.6,1.3,3.6,5.4,0.7,0.0,3.0,Jameer Nelson,10-10,0.0,28.6
